                     file line col                linter
452                R/ec.R  241   3    object_name_linter
453                R/ec.R  246   3    object_name_linter
454                R/ec.R  247   3    object_name_linter
455          R/elements.R    4  81    line_length_linter
456          R/elements.R    9  81    line_length_linter
457          R/elements.R   18  81    line_length_linter
458        R/molar_mass.R   11  81    line_length_linter
459        R/molar_mass.R   18  81    line_length_linter
460        R/molar_mass.R   25   3         return_linter
461           R/newsalt.R   39   3         return_linter
462 R/percentage_matrix.R   23  81    line_length_linter
463 R/percentage_matrix.R   25  81    line_length_linter
464 R/percentage_matrix.R   26  81    line_length_linter
465 R/percentage_matrix.R   39  81    line_length_linter
466 R/percentage_matrix.R   41  81    line_length_linter
467 R/percentage_matrix.R   59  31   infix_spaces_linter
468 R/percentage_matrix.R   63   3         return_linter
469                R/ph.R    7  81    line_length_linter
470                R/ph.R    9  81    line_length_linter
471                R/ph.R   24   3    object_name_linter
472                R/ph.R   32  81    line_length_linter
473                R/ph.R   33   6    indentation_linter
474                R/ph.R   42   3    object_name_linter
475                R/ph.R   43   3    object_name_linter
476                R/ph.R   46   3    object_name_linter
477                R/ph.R   47   3    object_name_linter
478                R/ph.R   49   3    object_name_linter
479                R/ph.R   50   3    object_name_linter
480                R/ph.R   51   3    object_name_linter
481                R/ph.R   52   3    object_name_linter
482                R/ph.R   53   3    object_name_linter
483                R/ph.R   54   3    object_name_linter
484                R/ph.R   55   3    object_name_linter
485                R/ph.R   58  28    object_name_linter
486                R/ph.R   74   3    object_name_linter
487                R/ph.R   75   3    object_name_linter
488                R/ph.R   76   3    object_name_linter
489                R/ph.R   77   3    object_name_linter
490                R/ph.R   78   3    object_name_linter
491                R/ph.R   79   3    object_name_linter
492                R/ph.R   80   3    object_name_linter
493                R/ph.R   81   3    object_name_linter
494                R/ph.R   82   3    object_name_linter
495                R/ph.R   84   3    object_name_linter
496                R/ph.R   85   3    object_name_linter
497                R/ph.R   87   3    object_name_linter
498                R/ph.R   88   3    object_name_linter
499                R/ph.R   89   3    object_name_linter
500                R/ph.R   90   3    object_name_linter
501                R/ph.R   91   3    object_name_linter
502                R/ph.R   92   3    object_name_linter
503                R/ph.R   93   3    object_name_linter
504                R/ph.R   94   3    object_name_linter
505                R/ph.R   95   3    object_name_linter
506                R/ph.R  103   3    object_name_linter
507                R/ph.R  112   3    object_name_linter
508                R/ph.R  114  81    line_length_linter
509                R/ph.R  115   3    object_name_linter
510                R/ph.R  124   3    object_name_linter
511                R/ph.R  127   3    object_name_linter
512                R/ph.R  127  23    object_name_linter
513                R/ph.R  129  81    line_length_linter
514                R/ph.R  156   5    object_name_linter
515                R/ph.R  156  22 commented_code_linter
516                R/ph.R  159   5    object_name_linter
517                R/ph.R  183   7    object_name_linter
518                R/ph.R  183  42 commented_code_linter
519                R/ph.R  186   7    object_name_linter
520                R/ph.R  187   7    object_name_linter
521                R/ph.R  188   7    object_name_linter
522                R/ph.R  191   7    object_name_linter
523                R/ph.R  192   7    object_name_linter
524                R/ph.R  193   7    object_name_linter
525                R/ph.R  196   7    object_name_linter
526                R/ph.R  197   7    object_name_linter
527                R/ph.R  198   7    object_name_linter
528                R/ph.R  200   7    object_name_linter
529                R/ph.R  201   7    object_name_linter
530                R/ph.R  202   7    object_name_linter
531                R/ph.R  203   7    object_name_linter
532                R/ph.R  204   7    object_name_linter
533                R/ph.R  207   7    object_name_linter
534                R/ph.R  208   7    object_name_linter
535                R/ph.R  210   9    object_name_linter
536                R/ph.R  211   9    object_name_linter
537                R/ph.R  212   9    object_name_linter
538                R/ph.R  214   9    object_name_linter
539                R/ph.R  219   9    object_name_linter
540                R/ph.R  221   9    object_name_linter
541                R/ph.R  222   9    object_name_linter
542                R/ph.R  223   9    object_name_linter
543                R/ph.R  225   9    object_name_linter
544                R/ph.R  226   9    object_name_linter
545                R/ph.R  227   9    object_name_linter
546                R/ph.R  231   7    object_name_linter
547                R/ph.R  232   7    object_name_linter
548                R/ph.R  233   7    object_name_linter
549                R/ph.R  234   7    object_name_linter
550                R/ph.R  237   7    object_name_linter
551                R/ph.R  238   7    object_name_linter
552                R/ph.R  239   7    object_name_linter
553                R/ph.R  242   7    object_name_linter
554                R/ph.R  244   9    object_name_linter
555                R/ph.R  246   7    object_name_linter
556                R/ph.R  259   7    object_name_linter
557                R/ph.R  272   9    object_name_linter
558                R/ph.R  275   7    object_name_linter
559                R/ph.R  319   5    object_name_linter
560                R/ph.R  320   5    object_name_linter
561                R/ph.R  321   5    object_name_linter
562                R/ph.R  322   5    object_name_linter
563                R/ph.R  323   5    object_name_linter
564                R/ph.R  324   5    object_name_linter
565                R/ph.R  325   5    object_name_linter
566                R/ph.R  326   5    object_name_linter
567                R/ph.R  327   5    object_name_linter
568                R/ph.R  328   5    object_name_linter
569                R/ph.R  329   5    object_name_linter
570                R/ph.R  330   5    object_name_linter
571                R/ph.R  389   8    indentation_linter
572                R/ph.R  389  81    line_length_linter
573                R/ph.R  390  81    line_length_linter
574                R/ph.R  391  81    line_length_linter
575                R/ph.R  394  81    line_length_linter
576                R/ph.R  396  81    line_length_linter
577                R/ph.R  398  81    line_length_linter
578                R/ph.R  417  81    line_length_linter
579                R/ph.R  425  81    line_length_linter
580                R/ph.R  426  81    line_length_linter
581                R/ph.R  427  81    line_length_linter
582                R/ph.R  430  81    line_length_linter
583                R/ph.R  433  81    line_length_linter
584                R/ph.R  436  81    line_length_linter
585                R/ph.R  446   3   object_usage_linter
586                R/ph.R  470   3    object_name_linter
587                R/ph.R  471   3    object_name_linter
588                R/ph.R  472   3    object_name_linter
589                R/ph.R  476   3    object_name_linter
590                R/ph.R  538  81    line_length_linter
591                R/ph.R  544  81    line_length_linter
592                R/ph.R  546  81    line_length_linter
593                R/ph.R  580   3 commented_code_linter
594                R/ph.R  581   3 commented_code_linter
595                R/ph.R  582   3 commented_code_linter
596                R/ph.R  583   3 commented_code_linter
597                R/ph.R  584   3 commented_code_linter
598           R/recipes.R   32  81    line_length_linter
599           R/recipes.R   35   4    indentation_linter
600           R/recipes.R   37  81    line_length_linter
601           R/recipes.R   38  31  spaces_inside_linter
602           R/recipes.R   41  12   infix_spaces_linter
603           R/recipes.R   41  21   infix_spaces_linter
604           R/recipes.R   41  26   infix_spaces_linter
605           R/recipes.R   41  33   infix_spaces_linter
606           R/recipes.R   41  41   infix_spaces_linter
607           R/recipes.R   41  49   infix_spaces_linter
608           R/recipes.R   41  56   infix_spaces_linter
609           R/recipes.R   42   9   infix_spaces_linter
610           R/recipes.R   42  17   infix_spaces_linter
611           R/recipes.R   42  25   infix_spaces_linter
612           R/recipes.R   42  33   infix_spaces_linter
613           R/recipes.R   42  44   infix_spaces_linter
614           R/recipes.R   42  54   infix_spaces_linter
615           R/recipes.R   42  64   infix_spaces_linter
616           R/recipes.R   42  75   infix_spaces_linter
617           R/recipes.R   42  81    line_length_linter
618           R/recipes.R   42  88   infix_spaces_linter
619           R/recipes.R   49  81    line_length_linter
620           R/recipes.R   51  22         commas_linter
621           R/recipes.R   51  33         commas_linter
622           R/recipes.R   51  42         commas_linter
623           R/recipes.R   53  12   infix_spaces_linter
624           R/recipes.R   53  23   infix_spaces_linter
625           R/recipes.R   53  28   infix_spaces_linter
626           R/recipes.R   53  34   infix_spaces_linter
627           R/recipes.R   53  42   infix_spaces_linter
628           R/recipes.R   53  50   infix_spaces_linter
629           R/recipes.R   53  56   infix_spaces_linter
630           R/recipes.R   54   9   infix_spaces_linter
